"","final","seasonal","seasonaladj","trend","irregular","adjustfac"
"1",3737.64445443764,0.998142023800741,3737.64445443764,3738.55811859129,0.99975561055234,0.998142023800741
"2",3745.73103698276,0.995319728830055,3745.73103698276,3748.84318379175,0.999169838092336,0.995319728830055
"3",3763.4160898769,0.997737138367503,3763.4160898769,3760.37936863635,1.00080755714859,0.997737138367503
"4",3775.28203248396,0.998600890625254,3775.28203248396,3771.75956100866,1.00093390668687,0.998600890625254
"5",3776.35472064741,0.999853106848152,3776.35472064741,3784.2033014222,0.997925962177604,0.999853106848152
"6",3803.57409073861,1.00024343137252,3803.57409073861,3800.41507411566,1.00083122936872,1.00024343137252
"7",3814.38395899885,1.00191801378146,3814.38395899885,3819.65356199052,0.998620397660115,1.00191801378146
"8",3843.26357872075,1.00131045429908,3843.26357872075,3839.30350631985,1.0010314559384,1.00131045429908
"9",3857.67509618221,1.00322082692503,3857.67509618221,3854.04810035012,1.00094108732887,1.00322082692503
"10",3861.3569412164,1.00239373332337,3861.3569412164,3861.65096159455,0.999923861482803,1.00239373332337
"11",3867.62774328374,1.00110461942044,3867.62774328374,3864.59925433886,1.00078364889748,1.00110461942044
"12",3861.27536986617,1.0000063787561,3861.27536986617,3867.20137278126,0.998467624945316,1.0000063787561
"13",3847.96633402404,0.998189606296073,3847.96633402404,3873.59318704314,0.99338421672549,0.998189606296073
"14",3884.53738044855,0.995408106885949,3884.53738044855,3884.81610987468,0.999928251577875,0.995408106885949
"15",3921.69806140592,0.997782067545812,3921.69806140592,3899.11737670198,1.0057912297893,0.997782067545812
"16",3911.72149460787,0.998818552237362,3911.72149460787,3914.67190568,0.999246319706166,0.998818552237362
"17",3933.49532678771,0.999924920010532,3933.49532678771,3929.59930749661,1.0009914545953,0.999924920010532
"18",3939.57091420205,1.0002358342617,3939.57091420205,3943.40511118361,0.999027693865211,1.0002358342617
"19",3959.4344233577,1.00165821072918,3959.4344233577,3954.92453736473,1.00114032162949,1.00165821072918
"20",3964.0543054398,1.00127286211828,3964.0543054398,3964.28236458055,0.99994247151949,1.00127286211828
"21",3973.21305490419,1.00289109718937,3973.21305490419,3973.18808686925,1.00000628413113,1.00289109718937
"22",3966.62261816119,1.00236407209395,3966.62261816119,3984.46707729417,0.995521494145436,1.00236407209395
"23",3999.20548338378,1.00109884741719,3999.20548338378,4000.54607799187,0.999664897096058,1.00109884741719
"24",4020.42491205464,1.00001867661926,4020.42491205464,4021.64121864075,0.999697559647918,1.00001867661926
"25",4091.44467784388,0.998351516792978,4091.44467784388,4091.29407623166,1.00003681026331,0.998351516792978
"26",4117.52366109875,0.995622693982543,4117.52366109875,4110.49751193219,1.00170931843315,0.995622693982543
"27",4125.57173777332,0.997922290940952,4125.57173777332,4126.08445027523,0.999875738728064,0.997922290940952
"28",4135.50325822008,0.999031977979434,4135.50325822008,4140.70293921342,0.998744251623534,0.999031977979434
"29",4157.51991407701,1.00021168531749,4157.51991407701,4156.78633254934,1.00017647804553,1.00021168531749
"30",4176.34611970387,1.00018051192945,4176.34611970387,4175.54984336773,1.00019069975596,1.00018051192945
"31",4199.52874135086,1.00125520242241,4199.52874135086,4197.15932196944,1.00056452929223,1.00125520242241
"32",4215.99184596694,1.00116417540934,4215.99184596694,4220.33482455601,0.998970939802264,1.00116417540934
"33",4245.5141011204,1.00230499737994,4245.5141011204,4245.6352015593,0.999971476485109,1.00230499737994
"34",4275.29467955108,1.00219992331614,4275.29467955108,4273.41092788852,1.00044080751754,1.00219992331614
"35",4296.40778449715,1.00095247371947,4296.40778449715,4300.21364943947,0.999114959103762,1.00095247371947
"36",4334.76304585455,1.00037763405476,4334.76304585455,4321.37660051648,1.00309772708458,1.00037763405476
"37",4348.28998921611,0.998254488722018,4348.28998921611,4336.64278591781,1.0026857649738,0.998254488722018
"38",4341.58749966088,0.996124448719098,4341.58749966088,4350.88556744994,0.997862948210217,0.996124448719098
"39",4359.86605417968,0.998310486127752,4359.86605417968,4368.34152903174,0.9980597957381,0.998310486127752
"40",4396.03943930758,0.999399586981868,4396.03943930758,4391.3291603443,1.00107263172295,0.999399586981868
"41",4420.67947213342,1.0003891998679,4420.67947213342,4417.29069399945,1.00076716212917,1.0003891998679
"42",4439.64011012819,1.00008106284809,4439.64011012819,4441.45532218189,0.999591302417333,1.00008106284809
"43",4466.098792921,1.00062721565484,4466.098792921,4461.93846109228,1.00093240457371,1.00062721565484
"44",4476.35381664773,1.00106027886684,4476.35381664773,4481.67302891721,0.998813119066215,1.00106027886684
"45",4504.22672419576,1.00161476680674,4504.22672419576,4502.61455293858,1.00035805224681,1.00161476680674
"46",4523.40720268655,1.00207648723464,4523.40720268655,4524.14907466109,0.999836019555876,1.00207648723464
"47",4550.31030008122,1.00083284428289,4550.31030008122,4546.57794382831,1.00082091548831,1.00083284428289
"48",4567.01607334739,1.00089422208878,4567.01607334739,4570.82961049026,0.999165679435059,1.00089422208878
"49",4594.04523184384,0.998052863785094,4594.04523184384,4597.01094302778,0.999354860969292,0.998052863785094
"50",4648.29487633354,0.99662351964514,4648.29487633354,4623.88657313337,1.00527874177148,0.99662351964514
"51",4652.1117348805,0.998686245036919,4652.1117348805,4649.09809433735,1.00064822046814,0.998686245036919
"52",4671.66317023459,0.999879449734694,4671.66317023459,4670.16539494075,1.00032071140253,0.999879449734694
"53",4667.37342804407,1.00045562498667,4667.37342804407,4688.31827704259,0.995532545411629,1.00045562498667
"54",4709.61435551524,0.999848319743123,4709.61435551524,4706.46047225317,1.00067011786897,0.999848319743123
