"","1","2","3","4",""
"1","0.287037037037037","0.231481481481481","0.25","0.231481481481481","
  Packaging very good. Delivery very fast. After using 5 days, following pros and cons have been experienced by me."
"2","0.232758620689655","0.232758620689655","0.267241379310345","0.267241379310345","
  Phone is very better. Battery backup is approx 12 to 13 hours with 5 hours approx screen on time. Camera is very good. I like portrait mode and edge ditection work very well."
"3","0.254385964912281","0.254385964912281","0.219298245614035","0.271929824561404","
  Good product but need to increase on software rest is fine and nice budget phone
"
"4","0.258928571428571","0.223214285714286","0.276785714285714","0.241071428571429","
  Fantastic Gaming Experience at so low cost. Really value for money, 18w charger could be better but still it's good."
"5","0.211864406779661","0.245762711864407","0.26271186440678","0.279661016949153","
  Phone is awesome.. Best smartphone for this price range. But.. Battery draining fast like a 4000maH battery.. Doesn't feel it's 5000"
"6","0.25","0.287037037037037","0.231481481481481","0.231481481481481","
  Overall a nice performer.
"
"7","0.273584905660377","0.235849056603774","0.235849056603774","0.254716981132075","
  Good
"
"8","0.240384615384615","0.278846153846154","0.240384615384615","0.240384615384615","
  Looks Cool... Eager to Using and Review will be posted after the using of this ""Nord""
"
"9","0.231481481481481","0.231481481481481","0.231481481481481","0.305555555555556","
  Great phone at this price.
"
"10","0.307017543859649","0.219298245614035","0.236842105263158","0.236842105263158","
  Best part is battery and processor is good and value of money
"
"11","0.26271186440678","0.26271186440678","0.245762711864407","0.228813559322034","
  if you are camera person than this nord is good not very good, otherwise it is just a another premium one plus handset @ RS 30k.
"
"12","0.268518518518519","0.268518518518519","0.231481481481481","0.231481481481481","
  Awesome Mobile...
"
"13","0.259615384615385","0.259615384615385","0.240384615384615","0.240384615384615","
  Initially I posted that it was having the SMS sending and receiving issue like all it's previous versions of note series."
"14","0.25","0.25","0.25","0.25","
  Nice camera
"
"15","0.259615384615385","0.259615384615385","0.240384615384615","0.240384615384615","
  Worth it
"
"16","0.259615384615385","0.259615384615385","0.240384615384615","0.240384615384615","
  Very good
"
"17","0.254716981132075","0.273584905660377","0.235849056603774","0.235849056603774","
  Nice product
"
"18","0.245454545454545","0.245454545454545","0.281818181818182","0.227272727272727","
  Camera quality and battery lifes are very good...
"
"19","0.231481481481481","0.25","0.287037037037037","0.231481481481481","
  overall it's a good one
"
"20","0.240384615384615","0.259615384615385","0.240384615384615","0.259615384615385","
  Awesome
"
"21","0.235849056603774","0.254716981132075","0.235849056603774","0.273584905660377","
  Awesome products <U+0001F44D><U+0001F44D>
"
"22","0.268518518518519","0.25","0.25","0.231481481481481","
  Everything is perfect but I have an issue with its battery backup. Avoiding it every thing is perfect
"
"23","0.278846153846154","0.240384615384615","0.240384615384615","0.240384615384615","
  Good parformance"
"25","0.25","0.268518518518519","0.231481481481481","0.25","
  So to"
"26","0.263636363636364","0.245454545454545","0.227272727272727","0.263636363636364","
  Nice but starting it goes freez but after hard reset it running good."
"27","0.259615384615385","0.259615384615385","0.240384615384615","0.240384615384615","
  Very good phone for this price
"
"28","0.25","0.268518518518519","0.231481481481481","0.25","
  Finger sensor not working for selfie..
"
"29","0.254385964912281","0.236842105263158","0.289473684210526","0.219298245614035","
  Everything is perfect in this price... But charging speed is very slow it takes 2 hours for 100%"
"30","0.231481481481481","0.268518518518519","0.231481481481481","0.268518518518519","
  Camera quality quite not good as compared to note 6 pro n 7 pro.
"
"31","0.245098039215686","0.264705882352941","0.245098039215686","0.245098039215686","
  The amazing speed phone I like it<U+0001F970>
"
"32","0.25","0.268518518518519","0.231481481481481","0.25","
  The screen and touch is extremely nice. I am loving using it !
"
"33","0.259615384615385","0.259615384615385","0.240384615384615","0.240384615384615","
  Nice product makeing in mi store .."
"34","0.231481481481481","0.268518518518519","0.25","0.25","
  Super
"
"35","0.245454545454545","0.245454545454545","0.227272727272727","0.281818181818182","
  Very nice camera
"
"36","0.231481481481481","0.268518518518519","0.231481481481481","0.268518518518519","
  Nice phone at this budget
"
"37","0.271929824561404","0.271929824561404","0.219298245614035","0.236842105263158","
  Very nice phone
"
"38","0.25","0.25","0.231481481481481","0.268518518518519","
  Superb phone with good futures
"
"40","0.254716981132075","0.254716981132075","0.235849056603774","0.254716981132075","
  Only one word - AMAZING
"
"41","0.235849056603774","0.254716981132075","0.235849056603774","0.273584905660377","
  Wifi calling works well on this.
"
"42","0.268518518518519","0.231481481481481","0.268518518518519","0.231481481481481","
  Nice phone.......
"
"43","0.240384615384615","0.259615384615385","0.259615384615385","0.240384615384615","
  Nothing
"
"44","0.254385964912281","0.289473684210526","0.219298245614035","0.236842105263158","
  Camera quality is not good in low light
"
"45","0.231481481481481","0.287037037037037","0.231481481481481","0.25","
  mobile
"
"46","0.273584905660377","0.235849056603774","0.254716981132075","0.235849056603774","
  Overall an nice product. But my budget was arround 17 to 18 had to spend more money. Just for nord branding and marketing.
"
"47","0.28030303030303","0.21969696969697","0.28030303030303","0.21969696969697","
  This is my first oneplus phone and I'm loving it
"
"48","0.227272727272727","0.281818181818182","0.245454545454545","0.245454545454545","
  processor could be better
"
"49","0.254716981132075","0.235849056603774","0.273584905660377","0.235849056603774","
  This phone performance is above average not good. Sometimes phones gets stuck and it happens once in around 15 days. One good thing about this phone is screen. And battery life is not that good. Coming to processor when we play games like pubg and other high end games this phones strucks frequently and not feasible. Back camera is good but front camera is not at all satisfactory. Overall product is above average.
"
"50","0.231481481481481","0.231481481481481","0.231481481481481","0.305555555555556","
  Good for the price just like flagship.
"
"52","0.227272727272727","0.245454545454545","0.3","0.227272727272727","
  Battery drains faster than expected key board responds very slow other wise good one
"
